Data,Salário Médio moe. local,Salário Médio,Salário médio
2021,20.602,24.366 $,20.602 €
2020,19.959,22.797 $,19.959 €
2019,19.573,21.911 $,19.573 €
2018,18.68,22.062 $,18.680 €
2017,17.981,20.313 $,17.981 €
2016,17.577,19.456 $,17.577 €
2015,17.369,19.271 $,17.369 €
2014,17.313,23.000 $,17.313 €
2013,17.634,23.419 $,17.634 €
2012,17.04,21.893 $,17.040 €
2011,16.208,22.562 $,16.208 €
2010,16.542,21.930 $,16.542 €
2009,15.613,21.777 $,15.613 €
2008,15.581,22.916 $,15.581 €
2007,15.549,21.310 $,15.549 €
2006,15.517,19.483 $,15.517 €
2005,14.042,17.469 $,14.042 €
2004,13.7,17.041 $,13.700 €
2003,13.35,15.101 $,13.350 €
2002,13.322,12.597 $,13.322 €
2001,11.544,10.339 $,11.544 €
2000,10.922,10.087 $,10.922 €
