T,tau0,batch_size,d_model,n_decoder_layers,n_encoder_layers,n_heads,dropout_encoder,dropout_decoder,dropout_pos_enc,dim_feedforward_encoder,dim_feedforward_decoder,epochs,results
"(7, 3)",3,10,4,2,2,1,0.1,0.1,0.1,4,4,200,19.256999999999998
"(7, 3)",3,10,4,2,2,1,0.1,0.2,0.1,4,4,200,47.8575
"(7, 3)",3,10,4,2,2,1,0.2,0.1,0.1,4,4,200,20.035
"(7, 3)",3,10,4,2,2,1,0.2,0.2,0.1,4,4,200,39.647999999999996
"(7, 3)",5,10,4,2,2,1,0.1,0.1,0.1,4,4,200,123.18799999999999
"(7, 3)",5,10,4,2,2,1,0.1,0.2,0.1,4,4,200,123.18799999999999
"(7, 3)",5,10,4,2,2,1,0.2,0.1,0.1,4,4,200,123.193
"(7, 3)",5,10,4,2,2,1,0.2,0.2,0.1,4,4,200,123.184
"(9, 1)",3,10,4,2,2,1,0.1,0.1,0.1,4,4,200,23.0105
"(9, 1)",3,10,4,2,2,1,0.1,0.2,0.1,4,4,200,17.849
"(9, 1)",3,10,4,2,2,1,0.2,0.1,0.1,4,4,200,55.227000000000004
"(9, 1)",3,10,4,2,2,1,0.2,0.2,0.1,4,4,200,10.4345
"(9, 1)",5,10,4,2,2,1,0.1,0.1,0.1,4,4,200,122.965
"(9, 1)",5,10,4,2,2,1,0.1,0.2,0.1,4,4,200,122.96799999999999
"(9, 1)",5,10,4,2,2,1,0.2,0.1,0.1,4,4,200,122.9665
"(9, 1)",5,10,4,2,2,1,0.2,0.2,0.1,4,4,200,21.339
