T,tau0,batch_size,d_model,n_decoder_layers,n_encoder_layers,n_heads,dropout_encoder,dropout_decoder,dropout_pos_enc,dim_feedforward_encoder,dim_feedforward_decoder,epochs,results
"(7, 3)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,200,25.045
"(7, 3)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,200,27.834
"(7, 3)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,200,8.832
"(7, 3)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,200,18.44
"(7, 3)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,200,19.551
"(7, 3)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,200,23.864
"(7, 3)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,200,64.055
"(7, 3)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,200,146.983
"(9, 1)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,200,21.017
"(9, 1)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,200,101.096
"(9, 1)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,200,20.461
"(9, 1)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,200,98.925
"(9, 1)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,200,
"(9, 1)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,200,
"(9, 1)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,200,
"(9, 1)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,200,
