T,tau0,units_per_layer,rnn_func,batch_size,epochs,results
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,0.668
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.979
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,0.696
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,12.332
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,13.715
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,0.727
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,11.064
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,10.681
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.887
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,7.334
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,0.65
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,0.98
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.699
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.276
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,5.962
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,10.284
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,21.775
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,10.392
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,14.386
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,3.185
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,95.531
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,4.095
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,24.939
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.01
