T,tau0,batch_size,d_model,n_decoder_layers,n_encoder_layers,n_heads,dropout_encoder,dropout_decoder,dropout_pos_enc,dim_feedforward_encoder,dim_feedforward_decoder,epochs,results
"(7, 3)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,200,24.384
"(7, 3)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,200,21.219
"(7, 3)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,200,1.162
"(7, 3)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,200,18.967
"(7, 3)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,200,22.204
"(7, 3)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,200,14.451
"(7, 3)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,200,7.471
"(7, 3)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,200,3.666
"(9, 1)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,200,24.537
"(9, 1)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,200,3.043
"(9, 1)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,200,42.002
"(9, 1)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,200,20.687
"(9, 1)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,200,43.563
"(9, 1)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,200,68.397
"(9, 1)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,200,44.324
"(9, 1)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,200,4.584
