T,tau0,units_per_layer,rnn_func,batch_size,epochs,results
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,15.286
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.527
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.845
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,14.012
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.399
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.382
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,4.322
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.528
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.767
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,1.714
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,2.158
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,1.349
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.682
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.512
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,4.708
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,3.192
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,4.705
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.198
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,7.798
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.277
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,140.611
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.66
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.389
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,2.22
8,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,2.873
8,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,1.891
