T,tau0,batch_size,d_model,n_decoder_layers,n_encoder_layers,n_heads,dropout_encoder,dropout_decoder,dropout_pos_enc,dim_feedforward_encoder,dim_feedforward_decoder,epochs,results
"(7, 3)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,200,122.97399999999999
"(7, 3)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,200,122.9555
"(7, 3)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,200,122.964
"(7, 3)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,200,122.926
"(7, 3)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,200,122.928
"(7, 3)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,200,122.95849999999999
"(7, 3)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,200,122.93
"(7, 3)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,200,122.959
"(9, 1)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,200,122.97800000000001
"(9, 1)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,200,122.98849999999999
"(9, 1)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,200,122.573
"(9, 1)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,200,46.747
"(9, 1)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,200,122.975
"(9, 1)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,200,122.8785
"(9, 1)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,200,122.9885
"(9, 1)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,200,123.0025
