T,tau0,batch_size,d_model,n_decoder_layers,n_encoder_layers,n_heads,dropout_encoder,dropout_decoder,dropout_pos_enc,dim_feedforward_encoder,dim_feedforward_decoder,epochs,results
"(7, 3)",3,10,4,2,2,1,0.1,0.1,0.1,4,4,200,
"(7, 3)",3,10,4,2,2,1,0.1,0.2,0.1,4,4,200,
"(7, 3)",3,10,4,2,2,1,0.2,0.1,0.1,4,4,200,
"(7, 3)",3,10,4,2,2,1,0.2,0.2,0.1,4,4,200,
"(7, 3)",5,10,4,2,2,1,0.1,0.1,0.1,4,4,200,
"(7, 3)",5,10,4,2,2,1,0.1,0.2,0.1,4,4,200,
"(7, 3)",5,10,4,2,2,1,0.2,0.1,0.1,4,4,200,
"(7, 3)",5,10,4,2,2,1,0.2,0.2,0.1,4,4,200,
"(9, 1)",3,10,4,2,2,1,0.1,0.1,0.1,4,4,200,
"(9, 1)",3,10,4,2,2,1,0.1,0.2,0.1,4,4,200,
"(9, 1)",3,10,4,2,2,1,0.2,0.1,0.1,4,4,200,
"(9, 1)",3,10,4,2,2,1,0.2,0.2,0.1,4,4,200,
"(9, 1)",5,10,4,2,2,1,0.1,0.1,0.1,4,4,200,
"(9, 1)",5,10,4,2,2,1,0.1,0.2,0.1,4,4,200,
"(9, 1)",5,10,4,2,2,1,0.2,0.1,0.1,4,4,200,
"(9, 1)",5,10,4,2,2,1,0.2,0.2,0.1,4,4,200,
