T,tau0,batch_size,d_model,n_decoder_layers,n_encoder_layers,n_heads,dropout_encoder,dropout_decoder,dropout_pos_enc,dim_feedforward_encoder,dim_feedforward_decoder,epochs,results
"(7, 3)",3,5,4,2,1,1,0.1,0.1,0.1,4,4,1,119.84049999999999
"(7, 3)",3,5,4,2,1,1,0.1,0.2,0.1,4,4,1,118.555
"(7, 3)",3,5,4,2,1,1,0.2,0.1,0.1,4,4,1,119.88199999999999
"(7, 3)",3,5,4,2,1,1,0.2,0.2,0.1,4,4,1,118.273
"(7, 3)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,1,119.4115
"(7, 3)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,1,120.1525
"(7, 3)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,1,119.665
"(7, 3)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,1,120.14750000000001
"(7, 3)",5,5,4,2,1,1,0.1,0.1,0.1,4,4,1,119.19500000000001
"(7, 3)",5,5,4,2,1,1,0.1,0.2,0.1,4,4,1,120.1325
"(7, 3)",5,5,4,2,1,1,0.2,0.1,0.1,4,4,1,
"(7, 3)",5,5,4,2,1,1,0.2,0.2,0.1,4,4,1,
"(7, 3)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,1,
"(7, 3)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,1,
"(7, 3)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,1,
"(7, 3)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,1,
"(9, 1)",3,5,4,2,1,1,0.1,0.1,0.1,4,4,1,
"(9, 1)",3,5,4,2,1,1,0.1,0.2,0.1,4,4,1,
"(9, 1)",3,5,4,2,1,1,0.2,0.1,0.1,4,4,1,
"(9, 1)",3,5,4,2,1,1,0.2,0.2,0.1,4,4,1,
"(9, 1)",3,5,4,2,2,1,0.1,0.1,0.1,4,4,1,
"(9, 1)",3,5,4,2,2,1,0.1,0.2,0.1,4,4,1,
"(9, 1)",3,5,4,2,2,1,0.2,0.1,0.1,4,4,1,
"(9, 1)",3,5,4,2,2,1,0.2,0.2,0.1,4,4,1,
"(9, 1)",5,5,4,2,1,1,0.1,0.1,0.1,4,4,1,
"(9, 1)",5,5,4,2,1,1,0.1,0.2,0.1,4,4,1,
"(9, 1)",5,5,4,2,1,1,0.2,0.1,0.1,4,4,1,
"(9, 1)",5,5,4,2,1,1,0.2,0.2,0.1,4,4,1,
"(9, 1)",5,5,4,2,2,1,0.1,0.1,0.1,4,4,1,
"(9, 1)",5,5,4,2,2,1,0.1,0.2,0.1,4,4,1,
"(9, 1)",5,5,4,2,2,1,0.2,0.1,0.1,4,4,1,
"(9, 1)",5,5,4,2,2,1,0.2,0.2,0.1,4,4,1,
