0,1,2,3,4,5,6,7,8,9,10,11,12,13
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,2,1,1,3,3.038
"(7, 3)",5,4,4,4,0.1,0.1,0.1,500,1,1,1,3,30.62
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,1,1,1,3,27.746
"(7, 1)",5,4,4,4,0.2,0.1,0.1,200,1,1,1,3,16.395
"(7, 1)",5,4,4,4,0.1,0.2,0.1,200,1,1,1,3,55.063
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,1,1,1,3,19.24
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,1,2,1,3,16.303
"(7, 1)",5,4,4,4,0.2,0.1,0.1,200,1,2,1,3,17.727
"(7, 1)",5,4,4,4,0.1,0.2,0.1,200,1,2,1,3,25.487
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,1,2,1,3,16.589
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,2,1,1,3,29.897
"(7, 1)",5,4,4,4,0.2,0.1,0.1,200,2,1,1,3,4.394
"(7, 1)",5,4,4,4,0.1,0.2,0.1,200,2,1,1,3,4.293
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,2,1,1,3,3.038
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,2,2,1,3,25.369
"(7, 1)",5,4,4,4,0.2,0.1,0.1,200,2,2,1,3,87.643
"(7, 1)",5,4,4,4,0.1,0.2,0.1,200,2,2,1,3,24.186
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,2,2,1,3,57.414
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,1,1,1,5,19.577
"(7, 1)",5,4,4,4,0.2,0.1,0.1,200,1,1,1,5,26.103
"(7, 1)",5,4,4,4,0.1,0.2,0.1,200,1,1,1,5,33.478
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,1,1,1,5,24.219
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,1,2,1,5,41.322
"(7, 1)",5,4,4,4,0.2,0.1,0.1,200,1,2,1,5,22.547
"(7, 1)",5,4,4,4,0.1,0.2,0.1,200,1,2,1,5,33.114
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,1,2,1,5,22.219
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,2,1,1,5,22.281
"(7, 1)",5,4,4,4,0.2,0.1,0.1,200,2,1,1,5,38.657
"(7, 1)",5,4,4,4,0.1,0.2,0.1,200,2,1,1,5,4.837
"(7, 1)",5,4,4,4,0.2,0.2,0.1,200,2,1,1,5,17.147
"(7, 1)",5,4,4,4,0.1,0.1,0.1,200,2,2,1,5,9.382
